transaction_id,card_id,timestamp,amount,category
1,1,2023-02-15 09:15:54,6.53,Grocery
2,1,2023-03-04 02:14:14,162.22,Entertainment
3,1,2023-03-17 17:08:48,53.22,Entertainment
4,1,2023-03-24 09:13:57,32.48,Grocery
5,1,2023-04-05 01:11:33,17.26,Entertainment
6,1,2023-05-04 08:22:57,46.84,Dining
7,1,2023-06-17 15:00:25,69.03,Retail
8,1,2023-06-20 21:36:26,30.56,Grocery
9,1,2023-06-28 23:17:41,33.41,Entertainment
10,1,2023-07-05 00:45:24,50.6,Entertainment
11,1,2023-07-26 17:27:38,28.66,Grocery
12,1,2023-07-28 12:13:02,18.16,Grocery
13,1,2023-09-02 15:00:46,63.13,Grocery
14,1,2023-09-08 14:53:43,38.67,Dining
15,1,2023-09-19 01:01:12,7.02,Retail
16,1,2023-10-18 18:25:03,66.01,Retail
17,1,2023-10-26 06:18:31,22.17,Grocery
18,1,2023-10-27 08:45:14,119.26,Dining
19,1,2023-11-08 14:25:49,95.47,Gas
20,1,2023-11-13 17:34:06,54.67,Utilities
21,1,2023-11-14 06:16:51,67.82,Retail
22,1,2023-12-26 00:21:29,16.48,Retail
23,1,2024-01-12 11:22:00,4.79,Grocery
24,1,2024-01-19 05:21:49,68.8,Dining
25,1,2024-02-08 07:53:32,18.14,Travel
26,1,2024-03-04 01:09:34,14.26,Grocery
27,1,2024-03-25 22:00:38,51.36,Dining
28,1,2024-05-21 23:40:59,0.97,Grocery
29,1,2024-06-05 22:13:42,14.75,Entertainment
30,1,2024-06-16 15:56:36,33.1,Grocery
31,1,2024-06-21 03:26:37,29.64,Travel
32,1,2024-06-26 14:15:11,35.85,Grocery
33,1,2024-06-30 09:52:42,29.93,Entertainment
34,1,2024-07-05 14:49:05,25.42,Dining
35,1,2024-07-11 19:58:45,8.39,Retail
36,1,2024-10-25 00:07:53,20.13,Retail
37,1,2024-10-29 16:29:50,44.86,Dining
38,1,2024-10-31 07:37:26,39.02,Entertainment
39,1,2024-11-02 18:14:24,80.53,Retail
40,1,2024-11-10 03:53:06,74.63,Gas
41,1,2024-11-20 07:10:07,86.75,Dining
42,1,2024-12-01 14:59:35,4.15,Retail
43,1,2024-12-29 16:41:39,24.85,Retail
44,1,2024-12-29 21:28:32,34.05,Utilities
45,1,2025-01-04 17:12:53,36.37,Utilities
46,1,2025-01-04 23:30:05,42.56,Dining
47,1,2025-01-25 19:41:42,23.87,Dining
48,1,2025-02-18 22:43:04,59.76,Travel
49,1,2025-03-11 11:04:18,46.58,Retail
50,1,2025-04-23 02:31:28,70.44,Retail
51,1,2025-04-27 21:21:10,77.93,Travel
52,1,2025-06-29 07:20:37,35.02,Dining
53,1,2025-06-29 22:37:37,26.38,Dining
54,2,2023-10-28 02:05:57,11.11,Grocery
55,2,2023-11-12 11:50:15,31.52,Retail
56,2,2023-11-17 05:55:13,12.78,Grocery
57,2,2023-11-20 21:52:31,10.82,Dining
58,2,2023-12-08 02:20:04,62.98,Grocery
59,2,2024-01-01 20:09:32,65.96,Dining
60,2,2024-01-30 13:57:55,29.85,Grocery
61,2,2024-02-11 18:00:40,9.61,Travel
62,2,2024-02-14 06:37:58,5.41,Dining
63,2,2024-02-15 05:09:20,47.36,Travel
64,2,2024-03-29 13:22:02,73.94,Gas
65,2,2024-04-01 05:36:11,57.21,Healthcare
66,2,2024-04-09 02:24:45,9.35,Grocery
67,2,2024-04-15 03:49:44,56.39,Travel
68,2,2024-04-17 18:36:35,16.69,Travel
69,2,2024-05-03 22:00:02,45.28,Dining
70,2,2024-05-04 01:46:33,4.29,Retail
71,2,2024-06-28 13:22:45,33.29,Dining
72,2,2024-07-13 08:23:33,32.04,Travel
73,2,2024-08-08 18:13:49,31.67,Grocery
74,2,2024-08-21 22:16:01,46.94,Healthcare
75,2,2024-08-30 20:49:30,31.07,Dining
